ID,이름,위도,경도,분류코드,지역코드
433,백리향,37.52260585,126.9382009,3,1
434,하오아,37.54932943,126.8771807,3,1
435,청화원,37.5574629,126.9375333,3,1
436,홍바이,37.56013294,126.8326539,3,1
437,홍연,37.56452118,126.9800598,3,1
438,도원스타일,37.527418,127.0274843,3,1
439,메이징에이,37.56847902,126.9782849,3,1
440,동방명주,37.56081905,126.9923921,3,1
441,오향가가락본점,37.49682047,127.1214044,3,1
442,호경전 명동점,37.56094383,126.9811237,3,1
443,연화산,37.50729595,127.0613652,3,1
444,콴쒸이(Guanxi),37.56961766,126.9721604,3,1
445,친니,37.57223966,126.9768321,3,1
446,명동관,37.56361583,126.9857677,3,1
447,상인정신,37.57128974,126.9746935,4,1
448,스시겐,37.55161596,126.9156105,4,1
449,일품당프리미엄,37.57283121,126.9740629,4,1
450,배정철어도,37.52061895,127.0361671,4,1
451,히메지,37.5622566,126.9269758,4,1
452,잇텐고,37.54923002,126.9092445,4,1
453,삼원일식,37.56882344,126.9795931,4,1
454,몰타참치,37.50502388,127.0550713,4,1
455,상상돈가츠 코엑스,37.51042887,127.0584542,4,1
456,멘슈,37.51944501,126.9327904,4,1
457,카토멘,37.5042184,127.0542881,4,1
458,사조참치,37.56419319,126.9660944,4,1
459,엠브로돈까스,37.55794064,126.9382888,4,1
460,동경,37.57143418,126.9757045,4,1
461,후라토식당,37.54864697,126.9214073,4,1
462,㈜피에프비파트너스 마린칸토,37.53569357,126.9575071,4,1
463,스시조,37.56453784,126.9801987,4,1
464,아키노유키 길동,37.53894623,127.1265389,4,1
465,가쯔야,37.56789581,126.981729,4,1
466,오양회참치,37.56877338,126.9756046,4,1
467,최수사 대게마을,37.4991298,127.0374231,4,1
468,동해도 광화문,37.56852348,126.9796153,4,1
469,스시 초희,37.52376025,127.035967,4,1
470,오로지라멘종각점,37.56939851,126.9868285,4,1
471,히라메키,37.50909843,127.0566489,4,1
472,유타로,37.53886846,127.12665,4,1
473,유타로 가락,37.49434574,127.1205824,4,1
474,에페,37.57229839,126.9992829,4,1
475,하카다분코,37.54897197,126.9237737,4,1
476,명동돈가스,37.56401019,126.9835762,4,1
477,사케야,37.5333984,126.9025622,4,1
478,오코노미,37.61873323,126.9194249,4,1
479,에도긴,37.49688552,127.0318126,4,1
480,미우야,37.47408823,127.0353962,4,1
481,아토토루,37.5097794,127.0840075,4,1
482,도키도키,37.54227539,127.0706522,4,1
483,니와,37.52076505,126.9744949,4,1
484,갓덴스시 강남,37.49888801,127.0290211,4,1
485,스시효 청담,37.52208555,127.0418748,4,1
486,린스시,37.48461158,127.011937,4,1
487,일품당프리미엄,37.57277011,126.9740157,4,1
488,스시야,37.57010963,126.9919447,4,1
489,식당진,37.56069396,126.9865343,4,1
490,히메시야,37.58195839,126.9999353,4,1
491,으뜸횟집,37.54392372,127.1429039,4,1
492,가미우동,37.55474075,126.9238736,4,1
493,청하,37.52092815,126.9313238,4,1
494,바다나라1박2일포차,37.55661557,126.9258011,4,1
495,[백년가게]부산복집,37.5623022,126.9919144,4,1
496,파쿠모리 홍대,37.55584897,126.9248123,4,1
497,마도,37.51927829,126.9286019,4,1
498,노다메 건대,37.54486401,127.0726936,4,1
499,부엉이돈가스 남산서울타워,37.55110899,126.9878984,4,1
500,윤화돈까스,37.49345001,127.0430755,4,1
501,혼가츠,37.55269096,126.9220543,4,1
502,동묘발전소,37.57212922,127.0134677,4,1
503,오후정 대학로,37.58102801,127.0037461,4,1
504,온정돈까스,37.48360986,126.9091186,4,1
505,우마이도 건대,37.54309476,127.0717299,4,1
506,야바이,37.5581711,126.9346641,4,1
507,스시혼,37.64628208,127.0339887,4,1
508,일일주(日日酒),37.57445593,126.9686161,4,1
509,원조남산왕돈까스,37.557436,126.9861345,4,1
510,마루심,37.50194566,127.0104977,4,1
511,스시 카이신(鮨海信),37.52384386,127.0517544,4,1
512,진동횟집,37.56280189,126.9777156,4,1
513,다온스시,37.56533022,127.0247974,4,1
514,소바연구소,37.55882944,126.9394692,4,1
515,호호식당 대학로,37.5819584,127.0000492,4,1
516,스키우동,37.54760264,126.9211323,4,1
517,시오리라멘,37.50189327,126.8766488,4,1
518,훈카츠,37.51791937,126.8871668,4,1
519,이끼롤까스 가로수길,37.51896055,127.0218573,4,1
520,소피텔 앰배서더 서울 미오,37.51392377,127.1063803,4,1
521,시키카츠,37.59145261,127.0486861,4,1
522,566라멘,37.56064001,126.920907,4,1
523,알마튜나 도곡점,37.48502325,127.0457533,4,1
524,온정텐동,37.55935691,126.9257871,4,1
525,도마 유즈라멘,37.57792807,126.9864811,4,1
526,손수메밀,37.59984369,126.915523,4,1
527,초승달,37.53959927,126.9913095,4,1
528,해담채 남부터미널점,37.48593093,127.0151394,4,1
529,마쯔야,37.56094383,126.9811237,4,1
530,1992남산돈까스,37.55616936,126.9795601,4,1
531,해담채 강남점,37.49782986,127.0324569,4,1
532,해담채 서여의도점,37.5282938,126.9227383,4,1
533,해담채 삼성포스코점,37.50668206,127.0573739,4,1
534,해담채 시청점,37.56014934,126.9730606,4,1
535,모모야마,37.56535165,126.9809819,4,1
536,까사빠보(구 호무랑),37.56094383,126.9811237,4,1
537,미가미,37.49270818,127.0296435,4,1
538,슈치쿠,37.51964234,126.9399203,4,1
